Title:,"Time Series, Area-Averaged of Transpiration hourly 0.125 deg. [NLDAS Model NLDAS_MOS0125_H ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-26T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.9375,34.0625,-81.1875,36.5625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-26T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=NLDAS_MOS0125_H_002_transsfc&variableFacets=dataFieldDiscipline%3AWater%20and%20Energy%20Cycle%3B&portal=GIOVANNI&format=json"
Fill Value (mean_NLDAS_MOS0125_H_002_transsfc):,-9999
,
time, mean_NLDAS_MOS0125_H_002_transsfc
1/26/19 11:00,-0.003748437
1/26/19 12:00,-0.005912987
1/26/19 13:00,-0.013026841
1/26/19 14:00,-0.2640917
1/26/19 15:00,-11.4313049
1/26/19 16:00,-35.2490082
1/26/19 17:00,-55.1691933
1/26/19 18:00,-73.0343475
1/26/19 19:00,-79.1008224
1/26/19 20:00,-72.402916
1/26/19 21:00,-57.0837822
1/26/19 22:00,-33.7171288
1/26/19 23:00,-7.92166615
1/27/19 0:00,-0.657002211
1/27/19 1:00,-0.106151588
1/27/19 2:00,-0.025878849
1/27/19 3:00,-0.009135786
1/27/19 4:00,-0.002638487
1/27/19 5:00,-0.000675798
1/27/19 6:00,-0.001620056
1/27/19 7:00,-0.007342064
1/27/19 8:00,-0.015077596
1/27/19 9:00,-0.026695674
1/27/19 10:00,-0.044707038
1/27/19 11:00,-0.054263126
1/27/19 12:00,-0.041720379
1/27/19 13:00,-0.020473745
1/27/19 14:00,-0.288665414
1/27/19 15:00,-13.1296072
1/27/19 16:00,-46.1939926
1/27/19 17:00,-68.2178879
1/27/19 18:00,-85.7937164
1/27/19 19:00,-90.9008865
1/27/19 20:00,-82.740799
1/27/19 21:00,-65.4218216
1/27/19 22:00,-39.5702782
1/27/19 23:00,-9.13531303
1/28/19 0:00,-0.590117395
1/28/19 1:00,-0.066376999
1/28/19 2:00,-0.006206372
1/28/19 3:00,-0.003128298
1/28/19 4:00,-0.00331833
1/28/19 5:00,-0.005949212
1/28/19 6:00,-0.005593906
1/28/19 7:00,-0.004537778
1/28/19 8:00,-0.006486889
1/28/19 9:00,-0.002666887
1/28/19 10:00,-3.81E-06
1/28/19 11:00,-3.81E-06
1/28/19 12:00,0
1/28/19 13:00,0
1/28/19 14:00,-0.008582613
1/28/19 15:00,-7.44700909
1/28/19 16:00,-47.4218674
1/28/19 17:00,-70.683342
1/28/19 18:00,-88.6191864
1/28/19 19:00,-94.2109451
1/28/19 20:00,-86.8912811
1/28/19 21:00,-68.1207047
1/28/19 22:00,-41.2693634
1/28/19 23:00,-12.3902216
1/29/19 0:00,-3.0250895
1/29/19 1:00,-2.13203812
1/29/19 2:00,-1.95336878
1/29/19 3:00,-1.88303089
1/29/19 4:00,-1.69922054
1/29/19 5:00,-1.37575245
1/29/19 6:00,-1.02065051
1/29/19 7:00,-0.729655027
1/29/19 8:00,-0.557056785
1/29/19 9:00,-0.473607272
1/29/19 10:00,-0.500233293
1/29/19 11:00,-0.506575406
1/29/19 12:00,-0.487058967
1/29/19 13:00,-0.667708993
1/29/19 14:00,-2.68309832
1/29/19 15:00,-6.52564812
1/29/19 16:00,-9.2509737
1/29/19 17:00,-11.014842
1/29/19 18:00,-15.2584152
1/29/19 19:00,-20.6155396
1/29/19 20:00,-22.8461781
1/29/19 21:00,-21.2671986
1/29/19 22:00,-13.6811905
1/29/19 23:00,-4.04097128
1/30/19 0:00,-0.628736913
1/30/19 1:00,-0.188759193
1/30/19 2:00,-0.100460596
1/30/19 3:00,-0.058924172
1/30/19 4:00,-0.031102998
1/30/19 5:00,-0.017423306
1/30/19 6:00,-0.008958707
1/30/19 7:00,-0.003988104
1/30/19 8:00,-0.002790512
1/30/19 9:00,-0.002638933
1/30/19 10:00,-0.003054127
1/30/19 11:00,-0.00366869
1/30/19 12:00,-0.004571368
1/30/19 13:00,-0.023199217
1/30/19 14:00,-0.519125879
1/30/19 15:00,-6.98783541
1/30/19 16:00,-16.8414917
1/30/19 17:00,-24.4590492
1/30/19 18:00,-30.9627399
1/30/19 19:00,-33.1352196
1/30/19 20:00,-29.9345036
1/30/19 21:00,-23.5893707
1/30/19 22:00,-14.1125498
1/30/19 23:00,-4.38302088
1/31/19 0:00,-0.7208184
1/31/19 1:00,-0.154786184
1/31/19 2:00,-0.030398462
1/31/19 3:00,-0.006694303
1/31/19 4:00,-0.003458092
1/31/19 5:00,-0.002980045
1/31/19 6:00,-0.003319593
1/31/19 7:00,-0.005063734
1/31/19 8:00,-0.008209487
1/31/19 9:00,-0.01214647
1/31/19 10:00,-0.014777671
1/31/19 11:00,-0.011000906
1/31/19 12:00,-0.005278357
1/31/19 13:00,-0.002667655
1/31/19 14:00,-0.274158686
1/31/19 15:00,-10.1993694
1/31/19 16:00,-22.2311459
